플랫폼,검색어,월 검색량,경쟁 강도,우리 노출 순위(페이지)
스마트스토어,수분세럼,14800,높음,1.7
스마트스토어,저자극세럼,3200,낮음,2.3
스마트스토어,민감성세럼,5100,보통,2.7
스마트스토어,세럼추천,22400,높음,1.7
스마트스토어,무향세럼,1900,낮음,1.7
스마트스토어,성분좋은세럼,2600,낮음,1.9
스마트스토어,여름세럼,6700,보통,2.9
스마트스토어,끈적임없는세럼,1400,낮음,2.3
스마트스토어,트러블세럼,9100,높음,0.7
스마트스토어,진정세럼,7300,보통,2.9
스마트스토어,30ml세럼,800,없음,1.5
쿠팡,수분세럼,9176,높음,0.9
쿠팡,저자극세럼,1984,낮음,1.7
쿠팡,민감성세럼,3162,보통,2.5
쿠팡,세럼추천,13888,높음,3.0
쿠팡,무향세럼,1178,낮음,2.7
쿠팡,성분좋은세럼,1612,낮음,1.0
쿠팡,여름세럼,4154,보통,2.5
쿠팡,끈적임없는세럼,868,낮음,2.4
쿠팡,트러블세럼,5642,높음,2.0
쿠팡,진정세럼,4526,보통,1.6
쿠팡,30ml세럼,496,없음,0.6
네이버 통합검색,수분세럼,19980,높음,1.8
네이버 통합검색,저자극세럼,4320,낮음,1.0
네이버 통합검색,민감성세럼,6885,보통,1.0
네이버 통합검색,세럼추천,30240,높음,2.2
네이버 통합검색,무향세럼,2565,낮음,0.5
네이버 통합검색,성분좋은세럼,3510,낮음,0.8
네이버 통합검색,여름세럼,9045,보통,1.3
네이버 통합검색,끈적임없는세럼,1890,낮음,0.6
네이버 통합검색,트러블세럼,12285,높음,0.7
네이버 통합검색,진정세럼,9855,보통,2.0
네이버 통합검색,30ml세럼,1080,없음,2.6
