번호,접수일,채널,유형,문의내용,처리상태,첫응답시간_시간
1,2026-08-02,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,4
2,2026-08-03,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,6
3,2026-08-04,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,9
4,2026-08-05,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,14
5,2026-08-06,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,미처리,2
6,2026-08-07,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,4
7,2026-08-08,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,6
8,2026-08-09,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,9
9,2026-08-10,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,14
10,2026-08-11,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,미처리,2
11,2026-08-12,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,4
12,2026-08-13,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,6
13,2026-08-14,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,9
14,2026-08-15,자사몰,배송,주문한 지 나흘인데 아직 출고 전이에요,완료,14
15,2026-08-16,네이버,배송,송장번호가 안 떠요,미처리,2
16,2026-08-17,네이버,배송,송장번호가 안 떠요,완료,4
17,2026-08-18,네이버,배송,송장번호가 안 떠요,완료,6
18,2026-08-19,네이버,배송,송장번호가 안 떠요,완료,9
19,2026-08-20,네이버,배송,송장번호가 안 떠요,완료,14
20,2026-08-21,네이버,배송,송장번호가 안 떠요,미처리,2
21,2026-08-22,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,4
22,2026-08-23,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,6
23,2026-08-24,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,9
24,2026-08-25,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,14
25,2026-08-26,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,미처리,2
26,2026-08-27,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,4
27,2026-08-28,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,6
28,2026-08-01,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,9
29,2026-08-02,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,14
30,2026-08-03,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,미처리,2
31,2026-08-04,자사몰,펌프·용기,펌프가 헐거워서 내용물이 새요,완료,4
32,2026-08-05,쿠팡,펌프·용기,바닥에 남은 걸 못 쓰겠어요,완료,6
33,2026-08-06,쿠팡,펌프·용기,바닥에 남은 걸 못 쓰겠어요,완료,9
34,2026-08-07,쿠팡,펌프·용기,바닥에 남은 걸 못 쓰겠어요,완료,14
35,2026-08-08,쿠팡,펌프·용기,바닥에 남은 걸 못 쓰겠어요,미처리,2
36,2026-08-09,쿠팡,펌프·용기,바닥에 남은 걸 못 쓰겠어요,완료,4
37,2026-08-10,쿠팡,펌프·용기,바닥에 남은 걸 못 쓰겠어요,완료,6
38,2026-08-11,쿠팡,펌프·용기,바닥에 남은 걸 못 쓰겠어요,완료,9
39,2026-08-12,자사몰,반품·교환,개봉했는데 반품 되나요,완료,14
40,2026-08-13,자사몰,반품·교환,개봉했는데 반품 되나요,미처리,2
41,2026-08-14,자사몰,반품·교환,개봉했는데 반품 되나요,완료,4
42,2026-08-15,자사몰,반품·교환,개봉했는데 반품 되나요,완료,6
43,2026-08-16,자사몰,반품·교환,개봉했는데 반품 되나요,완료,9
44,2026-08-17,자사몰,반품·교환,개봉했는데 반품 되나요,완료,14
45,2026-08-18,자사몰,반품·교환,개봉했는데 반품 되나요,미처리,2
46,2026-08-19,자사몰,반품·교환,개봉했는데 반품 되나요,완료,4
47,2026-08-20,자사몰,성분·자극,바르고 따가운데 계속 써도 되나요,완료,6
48,2026-08-21,자사몰,성분·자극,바르고 따가운데 계속 써도 되나요,완료,9
49,2026-08-22,자사몰,성분·자극,바르고 따가운데 계속 써도 되나요,완료,14
50,2026-08-23,자사몰,성분·자극,바르고 따가운데 계속 써도 되나요,미처리,2
51,2026-08-24,자사몰,성분·자극,바르고 따가운데 계속 써도 되나요,완료,4
52,2026-08-25,인스타 DM,성분·자극,임신 중에 써도 되는 성분인가요,완료,6
53,2026-08-26,인스타 DM,성분·자극,임신 중에 써도 되는 성분인가요,완료,9
54,2026-08-27,인스타 DM,성분·자극,임신 중에 써도 되는 성분인가요,완료,14
55,2026-08-28,네이버,주문·결제,결제는 됐는데 주문 내역이 없어요,미처리,2
56,2026-08-01,네이버,주문·결제,결제는 됐는데 주문 내역이 없어요,완료,4
57,2026-08-02,네이버,주문·결제,결제는 됐는데 주문 내역이 없어요,완료,6
58,2026-08-03,네이버,주문·결제,결제는 됐는데 주문 내역이 없어요,완료,9
59,2026-08-04,자사몰,가격·혜택,쿠폰 중복 적용 되나요,완료,14
60,2026-08-05,자사몰,가격·혜택,쿠폰 중복 적용 되나요,미처리,2
