주,매체,광고비,노출,클릭,전환,매출
2026-06-01 주,메타,873127,76219,614,21,910098
2026-06-01 주,쿠팡,818594,109016,1668,53,2083748
2026-06-01 주,네이버쇼핑,449386,141695,1805,75,2993400
2026-06-01 주,구글,600300,104785,1913,25,935500
2026-06-08 주,메타,258131,55381,670,16,670848
2026-06-08 주,쿠팡,267538,129464,2247,48,2057472
2026-06-08 주,네이버쇼핑,664616,158127,2373,34,1296114
2026-06-08 주,구글,504257,156463,2446,37,1414954
2026-06-15 주,메타,490526,170297,2147,79,3471418
2026-06-15 주,쿠팡,303985,89276,1396,55,2333595
2026-06-15 주,네이버쇼핑,500740,33683,537,21,801717
2026-06-15 주,구글,539802,122264,806,13,568009
2026-06-22 주,메타,635765,137978,1853,75,3125850
2026-06-22 주,쿠팡,730794,62424,724,16,599392
2026-06-22 주,네이버쇼핑,253774,88604,1347,55,2382380
2026-06-22 주,구글,624710,114430,679,13,496561
2026-06-29 주,메타,740467,32283,372,8,298624
2026-06-29 주,쿠팡,636927,179679,2272,24,910248
2026-06-29 주,네이버쇼핑,572750,153389,1948,45,1979775
2026-06-29 주,구글,405333,108388,1039,28,1040984
2026-07-06 주,메타,822704,45601,185,7,279307
2026-07-06 주,쿠팡,184281,98731,1263,51,2127975
2026-07-06 주,네이버쇼핑,683068,59437,683,14,543704
2026-07-06 주,구글,279732,107267,1209,43,1634430
2026-07-13 주,메타,669737,85103,738,17,708186
2026-07-13 주,쿠팡,238158,101978,562,18,705672
2026-07-13 주,네이버쇼핑,784976,167596,1565,25,1000925
2026-07-13 주,구글,795584,123502,1335,42,1770300
2026-07-20 주,메타,571158,156972,1516,46,1898742
2026-07-20 주,쿠팡,213552,158533,936,18,760212
2026-07-20 주,네이버쇼핑,716456,159223,2431,96,3918144
2026-07-20 주,구글,883578,87736,1514,26,1097746
2026-07-27 주,메타,808228,174543,3187,65,2403635
2026-07-27 주,쿠팡,502511,147021,2429,64,2456192
2026-07-27 주,네이버쇼핑,422832,66573,636,15,601770
2026-07-27 주,구글,654782,107956,1281,21,922446
2026-08-03 주,메타,445762,92481,558,10,391530
2026-08-03 주,쿠팡,363240,176710,826,23,835429
2026-08-03 주,네이버쇼핑,387500,74959,696,27,1044144
2026-08-03 주,구글,537634,82403,966,13,530153
2026-08-10 주,메타,472392,90069,1068,22,904156
2026-08-10 주,쿠팡,745768,105822,453,17,704327
2026-08-10 주,네이버쇼핑,363974,87830,1596,58,2354162
2026-08-10 주,구글,722713,154226,924,29,1101942
2026-08-17 주,메타,664673,72370,329,13,471380
2026-08-17 주,쿠팡,337077,147571,2527,32,1304000
2026-08-17 주,네이버쇼핑,397921,91541,536,10,386150
2026-08-17 주,구글,861588,97751,1454,32,1346944
