고객ID,구매 회차,구매일,제품,결제금액,채널
C0001,1,2026-01-03,수분 세럼,67000,스마트스토어
C0002,1,2026-08-10,클렌징 밤,42000,쿠팡
C0003,1,2026-07-07,수분 세럼,81000,쿠팡
C0004,1,2026-04-22,수분 세럼,39000,자사몰
C0004,2,2026-07-07,수분 세럼,67000,쿠팡
C0005,1,2026-02-24,진정 크림,28000,스마트스토어
C0005,2,2026-06-10,클렌징 밤,28000,자사몰
C0006,1,2026-06-24,진정 크림,67000,자사몰
C0007,1,2026-03-26,진정 크림,39000,쿠팡
C0008,1,2026-06-09,진정 크림,28000,스마트스토어
C0009,1,2026-08-16,클렌징 밤,81000,자사몰
C0010,1,2026-05-01,수분 세럼,42000,자사몰
C0011,1,2026-02-14,클렌징 밤,67000,자사몰
C0012,1,2026-05-13,클렌징 밤,42000,쿠팡
C0012,2,2026-07-28,진정 크림,81000,자사몰
C0013,1,2026-08-02,클렌징 밤,28000,쿠팡
C0014,1,2026-08-10,진정 크림,81000,쿠팡
C0015,1,2026-05-16,클렌징 밤,67000,자사몰
C0016,1,2026-08-26,수분 세럼,81000,자사몰
C0017,1,2026-01-14,수분 세럼,39000,쿠팡
C0018,1,2026-07-05,진정 크림,42000,스마트스토어
C0018,2,2026-08-10,클렌징 밤,67000,스마트스토어
C0019,1,2026-03-26,진정 크림,42000,쿠팡
C0019,2,2026-07-05,클렌징 밤,42000,스마트스토어
C0020,1,2026-08-20,클렌징 밤,39000,스마트스토어
C0021,1,2026-08-04,진정 크림,39000,쿠팡
C0022,1,2026-01-28,수분 세럼,39000,스마트스토어
C0022,2,2026-05-23,진정 크림,39000,쿠팡
C0023,1,2026-04-20,수분 세럼,39000,스마트스토어
C0024,1,2026-01-05,클렌징 밤,39000,쿠팡
C0025,1,2026-01-22,클렌징 밤,67000,자사몰
C0026,1,2026-08-28,수분 세럼,67000,스마트스토어
C0027,1,2026-04-11,수분 세럼,81000,스마트스토어
C0028,1,2026-07-16,수분 세럼,28000,자사몰
C0029,1,2026-07-13,진정 크림,28000,자사몰
C0030,1,2026-08-23,클렌징 밤,81000,스마트스토어
C0031,1,2026-07-30,수분 세럼,42000,쿠팡
C0032,1,2026-02-24,진정 크림,39000,스마트스토어
C0033,1,2026-05-20,수분 세럼,67000,쿠팡
C0034,1,2026-04-22,수분 세럼,42000,쿠팡
C0035,1,2026-01-29,수분 세럼,81000,스마트스토어
C0036,1,2026-05-24,클렌징 밤,67000,쿠팡
C0037,1,2026-07-08,진정 크림,67000,자사몰
C0038,1,2026-03-22,클렌징 밤,42000,쿠팡
C0039,1,2026-06-13,클렌징 밤,67000,자사몰
C0040,1,2026-06-04,진정 크림,42000,쿠팡
C0041,1,2026-04-21,진정 크림,42000,쿠팡
C0041,2,2026-07-24,수분 세럼,81000,자사몰
C0042,1,2026-05-31,클렌징 밤,81000,스마트스토어
C0042,2,2026-08-14,수분 세럼,67000,스마트스토어
C0043,1,2026-07-02,수분 세럼,81000,자사몰
C0044,1,2026-03-11,수분 세럼,28000,스마트스토어
C0045,1,2026-07-07,수분 세럼,39000,쿠팡
C0046,1,2026-01-23,수분 세럼,39000,스마트스토어
C0047,1,2026-07-05,수분 세럼,81000,자사몰
C0048,1,2026-06-23,진정 크림,39000,자사몰
C0049,1,2026-06-13,수분 세럼,42000,쿠팡
C0049,2,2026-08-01,진정 크림,81000,스마트스토어
C0050,1,2026-04-27,진정 크림,28000,쿠팡
C0051,1,2026-03-03,클렌징 밤,42000,쿠팡
C0052,1,2026-03-31,진정 크림,81000,쿠팡
C0052,2,2026-06-05,수분 세럼,42000,자사몰
C0053,1,2026-08-12,클렌징 밤,42000,쿠팡
C0054,1,2026-08-17,클렌징 밤,81000,스마트스토어
C0055,1,2026-01-02,클렌징 밤,81000,자사몰
C0055,2,2026-05-23,수분 세럼,28000,자사몰
C0056,1,2026-06-25,클렌징 밤,28000,자사몰
C0056,2,2026-08-14,진정 크림,81000,쿠팡
C0057,1,2026-05-26,클렌징 밤,28000,자사몰
C0058,1,2026-06-10,수분 세럼,42000,스마트스토어
C0058,2,2026-07-09,진정 크림,28000,자사몰
C0059,1,2026-01-14,클렌징 밤,39000,쿠팡
C0060,1,2026-07-24,진정 크림,81000,스마트스토어
C0061,1,2026-04-20,수분 세럼,81000,스마트스토어
C0061,2,2026-06-21,클렌징 밤,28000,쿠팡
C0062,1,2026-04-06,수분 세럼,28000,스마트스토어
C0063,1,2026-07-10,수분 세럼,42000,자사몰
C0064,1,2026-04-30,클렌징 밤,39000,쿠팡
C0065,1,2026-05-08,클렌징 밤,67000,스마트스토어
C0066,1,2026-06-01,클렌징 밤,39000,자사몰
C0067,1,2026-03-19,클렌징 밤,81000,쿠팡
C0067,2,2026-05-16,진정 크림,81000,스마트스토어
C0067,3,2026-07-10,클렌징 밤,81000,자사몰
C0068,1,2026-04-15,클렌징 밤,39000,스마트스토어
C0069,1,2026-06-29,수분 세럼,67000,자사몰
