월,매체,유입,주문,매출,광고비
2026-06,자연검색,5197,58,2536514,0
2026-07,자연검색,4363,57,2307702,0
2026-08,자연검색,1968,20,820440,0
2026-06,메타광고,9756,180,6692220,1145650
2026-07,메타광고,8671,92,3778440,958491
2026-08,메타광고,9269,279,11324331,672353
2026-06,쿠팡광고,6859,205,8298195,2397371
2026-07,쿠팡광고,2338,72,2867688,789089
2026-08,쿠팡광고,7422,86,3421080,427504
2026-06,네이버쇼핑광고,1634,19,745864,2236793
2026-07,네이버쇼핑광고,5344,71,2661577,1000722
2026-08,네이버쇼핑광고,4499,126,4767210,685000
2026-06,인스타그램,5291,52,2096692,0
2026-07,인스타그램,9756,243,8852004,0
2026-08,인스타그램,6608,138,5693604,0
2026-06,이메일,1292,35,1344945,0
2026-07,이메일,5812,177,7511526,0
2026-08,이메일,7303,75,3125325,0
