번호,날짜,경로,제품,고객이 한 말,요청 유형
1,2026-07-20,문의,수분 세럼,아이도 쓸 수 있나요,대상 확대
2,2026-06-18,쿠팡문의,클렌징 밤,리필 팩 나오면 계속 살게요,용기
3,2026-07-06,쿠팡문의,클렌징 밤,세럼이랑 크림 세트로 팔면 좋겠어요,구성
4,2026-08-30,리뷰,클렌징 밤,리필 팩 나오면 계속 살게요,용기
5,2026-05-02,문의,진정 크림,펌프 말고 스포이드는 없나요,용기
6,2026-04-07,리뷰,수분 세럼,겨울용으로 더 촉촉한 버전 원해요,제형
7,2026-05-06,리뷰,진정 크림,향이 아예 없는 것도 만들어주세요,성분
8,2026-04-29,문의,수분 세럼,시트마스크로도 나오나요,제형
9,2026-05-06,쿠팡문의,클렌징 밤,세럼이랑 크림 세트로 팔면 좋겠어요,구성
10,2026-06-03,문의,진정 크림,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
11,2026-05-13,문의,진정 크림,겨울용으로 더 촉촉한 버전 원해요,제형
12,2026-06-08,리뷰,수분 세럼,펌프 말고 스포이드는 없나요,용기
13,2026-07-24,문의,수분 세럼,리필 팩 나오면 계속 살게요,용기
14,2026-04-24,인스타DM,클렌징 밤,펌프 말고 스포이드는 없나요,용기
15,2026-08-19,리뷰,수분 세럼,세럼이랑 크림 세트로 팔면 좋겠어요,구성
16,2026-07-24,쿠팡문의,진정 크림,세럼이랑 크림 세트로 팔면 좋겠어요,구성
17,2026-04-11,문의,수분 세럼,리필 팩 나오면 계속 살게요,용기
18,2026-04-13,인스타DM,진정 크림,시트마스크로도 나오나요,제형
19,2026-06-02,쿠팡문의,수분 세럼,남자친구도 쓰는데 남성용 라인은요,대상 확대
20,2026-05-25,인스타DM,수분 세럼,세럼이랑 크림 세트로 팔면 좋겠어요,구성
21,2026-07-12,리뷰,수분 세럼,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
22,2026-06-12,리뷰,클렌징 밤,리필 팩 나오면 계속 살게요,용기
23,2026-06-13,인스타DM,수분 세럼,펌프 말고 스포이드는 없나요,용기
24,2026-06-28,인스타DM,진정 크림,겨울용으로 더 촉촉한 버전 원해요,제형
25,2026-07-02,쿠팡문의,클렌징 밤,아이도 쓸 수 있나요,대상 확대
26,2026-06-17,리뷰,진정 크림,겨울용으로 더 촉촉한 버전 원해요,제형
27,2026-05-25,쿠팡문의,진정 크림,시트마스크로도 나오나요,제형
28,2026-08-01,인스타DM,클렌징 밤,겨울용으로 더 촉촉한 버전 원해요,제형
29,2026-08-25,인스타DM,클렌징 밤,향이 아예 없는 것도 만들어주세요,성분
30,2026-07-18,리뷰,진정 크림,펌프 말고 스포이드는 없나요,용기
31,2026-07-22,문의,수분 세럼,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
32,2026-08-04,문의,수분 세럼,아이도 쓸 수 있나요,대상 확대
33,2026-04-30,문의,진정 크림,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
34,2026-08-06,문의,클렌징 밤,펌프 말고 스포이드는 없나요,용기
35,2026-08-24,인스타DM,수분 세럼,리필 팩 나오면 계속 살게요,용기
36,2026-07-15,쿠팡문의,진정 크림,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
37,2026-06-18,리뷰,진정 크림,남자친구도 쓰는데 남성용 라인은요,대상 확대
38,2026-05-05,인스타DM,수분 세럼,아이도 쓸 수 있나요,대상 확대
39,2026-06-22,쿠팡문의,진정 크림,겨울용으로 더 촉촉한 버전 원해요,제형
40,2026-04-25,쿠팡문의,클렌징 밤,남자친구도 쓰는데 남성용 라인은요,대상 확대
41,2026-05-24,인스타DM,수분 세럼,100mL 대용량 있으면 좋겠어요,용량
42,2026-08-22,쿠팡문의,수분 세럼,겨울용으로 더 촉촉한 버전 원해요,제형
43,2026-06-05,쿠팡문의,수분 세럼,아이도 쓸 수 있나요,대상 확대
44,2026-05-22,쿠팡문의,수분 세럼,100mL 대용량 있으면 좋겠어요,용량
45,2026-05-04,문의,클렌징 밤,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
46,2026-08-16,문의,수분 세럼,시트마스크로도 나오나요,제형
47,2026-07-30,인스타DM,진정 크림,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
48,2026-04-05,문의,진정 크림,소용량 파우치가 있으면 여행 갈 때 좋겠어요,용량
49,2026-06-01,리뷰,수분 세럼,향이 아예 없는 것도 만들어주세요,성분
50,2026-08-24,인스타DM,진정 크림,100mL 대용량 있으면 좋겠어요,용량
51,2026-05-19,리뷰,진정 크림,향이 아예 없는 것도 만들어주세요,성분
