번호,검색어,채널,제목낱말,조회수,길이_초,게시_개월전
1,수분 세럼,채널02,리뷰,120000,1356,0.2
2,수분 세럼,채널03,-,27000,685,1
3,수분 세럼,채널04,광고·솔직,37000,657,3
4,수분 세럼,채널05,추천,290000,1597,6
5,수분 세럼,채널06,광고,67000,1626,11
6,수분 세럼,채널07,-,620000,842,4
7,수분 세럼,채널08,비교,8900,1066,4
8,수분 세럼,채널09,리뷰·솔직,120000,1190,1
9,수분 세럼,채널10,추천,53000,670,0.2
10,수분 세럼,채널11,성분·비교,24000,962,12
11,수분 세럼,채널12,-,170000,590,11
12,수분 세럼,채널13,추천·비교·순위,120000,363,24
13,수분 세럼,채널14,리뷰,130000,538,24
14,수분 세럼,채널15,성분·비교,65000,654,12
15,수분 세럼,채널16,-,640000,1861,12
16,수분 세럼,채널17,추천,330000,1153,1
17,수분 세럼,채널18,추천,39000,857,12
18,수분 세럼,채널19,광고,170000,442,24
19,수분 세럼,채널20,비교,55000,862,5
20,수분 세럼,채널21,성분·추천,330000,875,24
21,수분 세럼,채널22,성분,20000,1107,6
22,수분 세럼,채널23,리뷰·솔직,300000,1455,12
23,수분 세럼,채널24,-,140000,1376,5
24,수분 세럼,채널25,리뷰·솔직,48000,1372,10
25,수분 세럼,채널26,추천,100000,1156,12
26,수분 세럼,채널27,광고,38000,614,10
27,수분 세럼,채널28,비교·리뷰,49000,558,36
28,수분 세럼,채널29,비교,54000,1089,9
29,수분 세럼,채널30,리뷰·광고·솔직,110000,1534,12
30,수분 세럼,채널31,-,58000,283,12
31,수분 세럼,채널32,추천,94000,869,11
32,수분 세럼,채널33,추천·광고,360000,1669,12
33,세럼 성분표,채널34,-,1060000,576,11
34,세럼 성분표,채널35,-,25000,180,11
35,세럼 성분표,채널36,성분·비교,65000,654,12
36,세럼 성분표,채널37,-,140000,1708,7
37,세럼 성분표,채널38,성분,670000,901,24
38,세럼 성분표,채널39,-,640000,1861,12
39,세럼 성분표,채널40,추천,670000,1436,12
40,세럼 성분표,채널41,-,520000,1070,12
41,세럼 성분표,채널01,-,170000,590,11
42,세럼 성분표,채널02,-,470000,1441,12
43,세럼 성분표,채널03,-,160000,2404,5
44,세럼 성분표,채널04,비교,55000,862,5
45,저자극 세럼,채널05,광고,100000,481,12
46,저자극 세럼,채널06,추천,290000,1597,6
47,저자극 세럼,채널07,추천·광고,460000,1242,8
48,저자극 세럼,채널08,추천,618,122,0.9
49,저자극 세럼,채널09,성분·비교,110000,285,24
50,저자극 세럼,채널10,성분,13000,204,24
51,저자극 세럼,채널11,-,470000,1441,12
52,저자극 세럼,채널12,추천,3,50,10
53,저자극 세럼,채널13,추천,2,34,4
54,저자극 세럼,채널14,추천·비교·리뷰·광고,66000,886,4
55,저자극 세럼,채널15,추천,3,65,7
56,저자극 세럼,채널16,-,430,268,36
57,저자극 세럼,채널17,-,4,110,0.8
58,저자극 세럼,채널18,-,58,123,60
59,저자극 세럼,채널19,-,105,145,0.7
60,저자극 세럼,채널20,광고,1970000,532,36
61,저자극 세럼,채널21,리뷰,62,292,60
