날짜,팔로워,팔로워 증감,도달,좋아요,저장,프로필 클릭
2026-06-01,4292,-10,5653,364,25,13
2026-06-02,4142,35,5826,201,46,16
2026-06-03,4510,-8,3496,74,30,2
2026-06-04,4466,-11,3392,236,32,6
2026-06-05,4494,22,1468,215,12,14
2026-06-06,4580,36,1605,44,39,2
2026-06-07,4757,36,5625,406,48,3
2026-06-08,4145,15,2416,412,21,10
2026-06-09,4819,24,5106,232,11,16
2026-06-10,4791,34,2521,351,24,9
2026-06-11,4887,28,3875,188,41,16
2026-06-12,4826,8,5339,349,9,14
2026-06-13,4450,-6,3083,97,20,7
2026-06-14,4460,-2,1854,58,39,5
2026-06-15,4479,-2,2829,384,4,17
2026-06-16,4470,21,2077,256,48,11
2026-06-17,4643,25,4270,115,38,1
2026-06-18,4101,25,2441,388,7,9
2026-06-19,4155,10,5458,41,42,2
2026-06-20,4343,-8,1238,74,8,4
2026-06-21,4683,0,6883,158,9,14
2026-06-22,4362,5,4712,112,30,2
2026-06-23,4381,21,905,66,39,7
2026-06-24,4557,-1,6880,318,22,3
2026-06-25,4537,32,5733,145,10,2
2026-06-26,4672,5,5333,113,46,8
2026-06-27,4471,32,3745,397,36,3
2026-06-28,4299,27,2230,218,44,0
2026-06-29,4470,-12,4830,300,34,12
2026-06-30,4695,-10,2128,353,17,14
2026-07-01,4778,38,5962,342,37,5
2026-07-02,4406,7,1921,241,8,3
2026-07-03,4811,8,3223,253,10,7
2026-07-04,4184,-1,4320,338,38,16
2026-07-05,4688,3,3875,194,13,10
2026-07-06,4677,36,6680,362,41,17
2026-07-07,4700,0,4774,291,7,2
2026-07-08,4197,-8,3042,251,26,3
2026-07-09,4330,8,3193,216,31,1
2026-07-10,4739,-8,3918,332,25,12
2026-07-11,4779,-4,1918,128,41,14
2026-07-12,4416,-1,5954,333,36,17
2026-07-13,4817,16,4136,383,18,13
2026-07-14,4732,12,5072,74,15,7
2026-07-15,4547,14,7272,90,47,12
2026-07-16,4144,4,5778,414,25,9
2026-07-17,4695,6,1277,56,29,0
2026-07-18,4842,2,5600,117,45,7
2026-07-19,4106,-5,2582,124,9,1
2026-07-20,4200,31,3699,151,5,12
2026-07-21,4259,27,2727,341,17,17
2026-07-22,4794,10,4249,130,27,10
2026-07-23,4825,-8,2219,381,25,17
2026-07-24,4415,0,4219,311,5,17
2026-07-25,4584,24,6564,225,18,4
2026-07-26,4282,20,4035,338,44,13
2026-07-27,4373,-7,6393,93,20,16
2026-07-28,4467,21,2352,323,46,16
2026-07-29,4354,-2,3508,185,20,10
2026-07-30,4334,27,1119,381,32,11
2026-07-31,4105,28,3614,89,31,6
2026-08-01,4702,32,6957,145,18,10
2026-08-02,4763,31,6846,38,40,2
2026-08-03,4208,-6,1388,329,47,2
2026-08-04,4227,26,4268,346,45,16
2026-08-05,4145,24,5947,225,32,14
2026-08-06,4505,4,4631,332,36,7
2026-08-07,4321,-4,3370,376,12,16
2026-08-08,4389,21,5481,416,31,1
2026-08-09,4435,19,3072,297,43,7
2026-08-10,4297,21,6745,107,25,13
2026-08-11,4832,17,2317,81,48,13
2026-08-12,4675,19,3937,202,30,10
2026-08-13,4278,35,1982,207,20,11
2026-08-14,4811,19,3106,200,37,11
2026-08-15,4514,-6,1886,320,42,17
2026-08-16,4522,27,1975,241,17,14
2026-08-17,4789,-4,4527,276,26,2
2026-08-18,4527,10,5305,251,16,10
2026-08-19,4225,12,3139,317,33,9
2026-08-20,4737,28,3498,111,27,10
2026-08-21,4343,35,4761,181,46,16
2026-08-22,4402,10,2263,177,21,1
2026-08-23,4862,28,3040,266,29,0
2026-08-24,4405,0,1658,406,24,11
2026-08-25,4155,11,2875,303,40,5
2026-08-26,4219,-10,6615,333,24,15
2026-08-27,4761,3,5781,277,36,1
2026-08-28,4551,23,5988,201,15,1
2026-08-29,4306,34,4638,280,24,11
