날짜,상품,판매수량,매출,재고,아이템위너,취소율(%),전환율(%),노출수
2026-08-01,수분 세럼,47,1833000,853,Y,1.7,2.89,2050
2026-08-01,진정 크림,27,1134000,623,Y,1.3,1.88,1958
2026-08-01,클렌징 밤,15,420000,405,N,3.2,0.63,995
2026-08-02,수분 세럼,40,1560000,813,Y,2.0,2.72,2374
2026-08-02,진정 크림,27,1134000,596,Y,2.3,2.36,1829
2026-08-02,클렌징 밤,14,392000,391,N,2.9,0.82,906
2026-08-03,수분 세럼,39,1521000,774,Y,2.9,2.41,1959
2026-08-03,진정 크림,27,1134000,569,Y,2.7,2.07,1494
2026-08-03,클렌징 밤,12,336000,379,N,2.2,1.28,1170
2026-08-04,수분 세럼,37,1443000,737,Y,3.0,2.64,2187
2026-08-04,진정 크림,25,1050000,544,Y,2.0,2.46,1770
2026-08-04,클렌징 밤,11,308000,368,N,2.4,0.66,1133
2026-08-05,수분 세럼,41,1599000,696,Y,3.5,3.03,1903
2026-08-05,진정 크림,30,1260000,514,Y,1.5,2.31,1773
2026-08-05,클렌징 밤,14,392000,354,N,2.7,0.77,1173
2026-08-06,수분 세럼,47,1833000,649,Y,2.8,2.73,1975
2026-08-06,진정 크림,32,1344000,482,Y,2.3,1.93,1788
2026-08-06,클렌징 밤,13,364000,341,N,4.0,1.11,1470
2026-08-07,수분 세럼,40,1560000,609,Y,2.9,3.01,2594
2026-08-07,진정 크림,24,1008000,458,Y,1.4,1.83,1723
2026-08-07,클렌징 밤,12,336000,329,N,2.5,0.77,1480
2026-08-08,수분 세럼,42,1638000,567,Y,1.9,2.6,2458
2026-08-08,진정 크림,31,1302000,427,Y,1.3,1.91,1974
2026-08-08,클렌징 밤,11,308000,318,N,2.5,1.07,1497
2026-08-09,수분 세럼,43,1677000,524,Y,2.2,3.2,1941
2026-08-09,진정 크림,32,1344000,395,Y,1.9,2.4,1512
2026-08-09,클렌징 밤,14,392000,304,N,3.3,1.23,1332
