날짜,유입채널,디바이스,유입,가입,장바구니,결제시작,결제완료,채널친구,광고동의
2026-06-04,자연검색,모바일,108,12,3,1,0,11,8
2026-06-04,자연검색,PC,33,5,1,0,0,4,3
2026-06-04,유료검색,모바일,86,10,3,1,0,9,6
2026-06-04,유료검색,PC,33,5,2,1,1,4,3
2026-06-04,메타광고,모바일,77,7,2,1,0,6,4
2026-06-04,메타광고,PC,23,2,0,0,0,2,1
2026-06-04,인스타,모바일,48,5,1,0,0,4,3
2026-06-04,인스타,PC,14,2,1,0,0,2,1
2026-06-04,뉴스레터,모바일,22,5,2,1,0,4,3
2026-06-04,뉴스레터,PC,7,2,1,1,1,2,2
2026-06-05,자연검색,모바일,86,12,4,1,1,9,6
2026-06-05,자연검색,PC,34,5,1,0,0,4,3
2026-06-05,유료검색,모바일,86,11,3,1,1,9,6
2026-06-05,유료검색,PC,27,4,1,0,0,3,2
2026-06-05,메타광고,모바일,65,6,1,0,0,5,4
2026-06-05,메타광고,PC,22,3,1,0,0,3,2
2026-06-05,인스타,모바일,44,4,1,0,0,4,3
2026-06-05,인스타,PC,16,2,0,0,0,2,1
2026-06-05,뉴스레터,모바일,21,5,2,1,1,4,3
2026-06-05,뉴스레터,PC,8,2,1,1,1,2,1
2026-06-06,자연검색,모바일,92,14,3,1,1,11,7
2026-06-06,자연검색,PC,34,4,1,0,0,4,3
2026-06-06,유료검색,모바일,79,9,3,1,0,8,5
2026-06-06,유료검색,PC,32,4,1,0,0,3,2
2026-06-06,메타광고,모바일,68,8,1,0,0,7,5
2026-06-06,메타광고,PC,25,4,1,0,0,3,2
2026-06-06,인스타,모바일,43,4,1,0,0,3,2
2026-06-06,인스타,PC,14,2,1,0,0,2,1
2026-06-06,뉴스레터,모바일,23,6,2,1,1,5,4
2026-06-06,뉴스레터,PC,7,2,1,0,0,2,1
2026-06-07,자연검색,모바일,80,10,3,1,0,9,6
2026-06-07,자연검색,PC,29,4,1,0,0,3,2
2026-06-07,유료검색,모바일,80,11,2,1,0,10,7
2026-06-07,유료검색,PC,28,4,1,0,0,4,3
2026-06-07,메타광고,모바일,63,7,1,0,0,6,5
2026-06-07,메타광고,PC,22,3,1,0,0,2,1
2026-06-07,인스타,모바일,42,6,1,0,0,5,4
2026-06-07,인스타,PC,12,1,0,0,0,1,1
2026-06-07,뉴스레터,모바일,18,5,2,1,1,5,3
2026-06-07,뉴스레터,PC,7,2,1,1,1,2,2
2026-06-08,자연검색,모바일,107,17,5,2,1,15,11
2026-06-08,자연검색,PC,35,6,2,1,1,5,4
2026-06-08,유료검색,모바일,99,13,4,1,1,12,8
2026-06-08,유료검색,PC,38,6,2,1,1,5,3
2026-06-08,메타광고,모바일,75,8,1,0,0,7,5
2026-06-08,메타광고,PC,32,4,1,0,0,3,2
2026-06-08,인스타,모바일,54,6,1,0,0,5,4
2026-06-08,인스타,PC,19,2,1,0,0,2,1
2026-06-08,뉴스레터,모바일,26,7,3,1,1,6,4
2026-06-08,뉴스레터,PC,9,3,1,1,1,3,2
2026-06-09,자연검색,모바일,110,13,3,1,0,11,7
2026-06-09,자연검색,PC,35,5,1,0,0,4,3
2026-06-09,유료검색,모바일,89,12,3,1,0,11,7
2026-06-09,유료검색,PC,36,6,2,1,0,5,3
2026-06-09,메타광고,모바일,73,9,2,1,0,8,6
2026-06-09,메타광고,PC,28,3,1,0,0,2,1
2026-06-09,인스타,모바일,54,6,1,0,0,6,4
2026-06-09,인스타,PC,15,2,0,0,0,2,1
2026-06-09,뉴스레터,모바일,23,6,2,1,1,5,3
2026-06-09,뉴스레터,PC,8,2,1,0,0,2,1
2026-06-10,자연검색,모바일,98,12,3,1,0,10,7
2026-06-10,자연검색,PC,38,6,2,1,1,5,3
2026-06-10,유료검색,모바일,98,14,3,1,0,11,7
2026-06-10,유료검색,PC,35,5,2,1,1,4,3
2026-06-10,메타광고,모바일,71,6,1,0,0,6,4
2026-06-10,메타광고,PC,28,3,1,0,0,3,2
