날짜,유입채널,디바이스,유입,가입,장바구니,결제시작,결제완료
2026-05-01,자연검색,모바일,332,49,14,7,3
2026-05-01,자연검색,PC,93,14,5,3,1
2026-05-01,유료검색,모바일,473,59,15,8,4
2026-05-01,유료검색,PC,117,16,6,3,2
2026-05-01,메타광고,모바일,436,47,13,8,4
2026-05-01,메타광고,PC,113,13,4,2,1
2026-05-01,인스타,모바일,215,18,5,3,1
2026-05-01,인스타,PC,66,6,2,1,1
2026-05-01,뉴스레터,모바일,147,26,7,4,2
2026-05-01,뉴스레터,PC,49,9,3,2,1
2026-05-02,자연검색,모바일,447,60,15,9,5
2026-05-02,자연검색,PC,125,19,7,4,2
2026-05-02,유료검색,모바일,477,59,17,9,5
2026-05-02,유료검색,PC,142,18,6,3,1
2026-05-02,메타광고,모바일,451,49,14,7,3
2026-05-02,메타광고,PC,133,15,5,3,1
2026-05-02,인스타,모바일,278,26,7,4,2
2026-05-02,인스타,PC,74,7,3,2,1
2026-05-02,뉴스레터,모바일,160,28,7,4,2
2026-05-02,뉴스레터,PC,56,9,3,2,1
2026-05-03,자연검색,모바일,396,55,16,9,4
2026-05-03,자연검색,PC,118,18,6,3,2
2026-05-03,유료검색,모바일,555,65,16,9,5
2026-05-03,유료검색,PC,154,18,6,3,2
2026-05-03,메타광고,모바일,417,47,13,7,3
2026-05-03,메타광고,PC,128,14,5,3,2
2026-05-03,인스타,모바일,228,21,6,4,2
2026-05-03,인스타,PC,81,7,2,1,0
2026-05-03,뉴스레터,모바일,197,36,9,5,3
2026-05-03,뉴스레터,PC,55,10,4,2,1
2026-05-04,자연검색,모바일,311,46,11,6,3
2026-05-04,자연검색,PC,86,11,4,2,1
2026-05-04,유료검색,모바일,385,46,11,6,3
2026-05-04,유료검색,PC,128,15,5,3,1
2026-05-04,메타광고,모바일,370,40,11,6,3
2026-05-04,메타광고,PC,127,13,5,3,2
2026-05-04,인스타,모바일,214,18,5,3,1
2026-05-04,인스타,PC,58,5,2,1,0
2026-05-04,뉴스레터,모바일,163,29,7,4,2
2026-05-04,뉴스레터,PC,47,8,3,2,1
2026-05-05,자연검색,모바일,338,50,12,7,3
2026-05-05,자연검색,PC,101,16,6,3,1
2026-05-05,유료검색,모바일,463,59,14,8,4
2026-05-05,유료검색,PC,119,14,5,3,1
2026-05-05,메타광고,모바일,374,45,13,7,3
2026-05-05,메타광고,PC,111,12,5,3,1
2026-05-05,인스타,모바일,194,19,5,3,2
2026-05-05,인스타,PC,67,6,2,1,0
2026-05-05,뉴스레터,모바일,154,28,8,4,2
2026-05-05,뉴스레터,PC,43,8,3,2,1
2026-05-06,자연검색,모바일,326,50,13,7,4
2026-05-06,자연검색,PC,107,16,6,3,1
2026-05-06,유료검색,모바일,491,57,15,8,4
2026-05-06,유료검색,PC,117,15,6,3,1
2026-05-06,메타광고,모바일,376,45,13,7,3
2026-05-06,메타광고,PC,119,12,4,2,1
2026-05-06,인스타,모바일,196,16,4,2,1
2026-05-06,인스타,PC,68,7,3,2,1
2026-05-06,뉴스레터,모바일,170,30,7,4,2
2026-05-06,뉴스레터,PC,47,8,3,2,1
2026-05-07,자연검색,모바일,321,46,12,7,3
2026-05-07,자연검색,PC,85,13,5,3,2
2026-05-07,유료검색,모바일,397,46,13,7,3
2026-05-07,유료검색,PC,133,17,6,3,2
2026-05-07,메타광고,모바일,365,38,10,5,3
2026-05-07,메타광고,PC,126,14,5,3,1
2026-05-07,인스타,모바일,228,20,5,3,2
2026-05-07,인스타,PC,65,6,2,1,0
2026-05-07,뉴스레터,모바일,144,25,7,4,2
2026-05-07,뉴스레터,PC,45,8,3,2,1
2026-05-08,자연검색,모바일,369,52,13,7,3
2026-05-08,자연검색,PC,110,15,5,3,1
2026-05-08,유료검색,모바일,432,51,13,7,3
2026-05-08,유료검색,PC,115,15,5,3,2
2026-05-08,메타광고,모바일,437,50,14,8,4
2026-05-08,메타광고,PC,117,13,5,3,2
2026-05-08,인스타,모바일,244,21,5,3,2
2026-05-08,인스타,PC,57,6,2,1,0
2026-05-08,뉴스레터,모바일,176,32,8,5,3
2026-05-08,뉴스레터,PC,48,9,3,2,1
2026-05-09,자연검색,모바일,428,66,19,11,6
2026-05-09,자연검색,PC,104,16,5,3,1
2026-05-09,유료검색,모바일,537,70,17,10,4
2026-05-09,유료검색,PC,158,20,7,4,2
2026-05-09,메타광고,모바일,457,47,14,8,4
2026-05-09,메타광고,PC,143,16,6,4,2
2026-05-09,인스타,모바일,239,20,5,3,2
2026-05-09,인스타,PC,76,7,2,1,0
2026-05-09,뉴스레터,모바일,173,33,8,4,2
2026-05-09,뉴스레터,PC,53,10,4,2,1
2026-05-10,자연검색,모바일,382,59,15,8,4
2026-05-10,자연검색,PC,118,16,5,3,1
2026-05-10,유료검색,모바일,493,62,16,9,4
2026-05-10,유료검색,PC,143,17,6,4,2
2026-05-10,메타광고,모바일,503,53,14,7,3
2026-05-10,메타광고,PC,126,13,4,2,1
2026-05-10,인스타,모바일,260,22,5,3,1
2026-05-10,인스타,PC,73,7,3,2,1
2026-05-10,뉴스레터,모바일,181,33,9,5,2
2026-05-10,뉴스레터,PC,50,9,3,2,1
2026-05-11,자연검색,모바일,332,45,12,7,3
2026-05-11,자연검색,PC,101,14,5,3,1
2026-05-11,유료검색,모바일,456,56,14,7,3
2026-05-11,유료검색,PC,138,18,6,3,2
2026-05-11,메타광고,모바일,384,40,11,6,3
2026-05-11,메타광고,PC,129,14,5,3,1
2026-05-11,인스타,모바일,214,18,5,3,1
2026-05-11,인스타,PC,55,5,2,1,0
2026-05-11,뉴스레터,모바일,144,25,7,4,2
2026-05-11,뉴스레터,PC,42,8,3,2,1
2026-05-12,자연검색,모바일,326,46,11,6,3
2026-05-12,자연검색,PC,108,14,5,3,1
2026-05-12,유료검색,모바일,462,53,14,8,4
2026-05-12,유료검색,PC,113,14,5,3,1
2026-05-12,메타광고,모바일,362,39,10,6,3
2026-05-12,메타광고,PC,108,13,5,3,1
2026-05-12,인스타,모바일,233,22,6,3,2
2026-05-12,인스타,PC,62,5,2,1,1
2026-05-12,뉴스레터,모바일,157,28,7,4,2
2026-05-12,뉴스레터,PC,47,8,3,2,1
2026-05-13,자연검색,모바일,321,46,11,6,3
2026-05-13,자연검색,PC,102,15,5,3,2
2026-05-13,유료검색,모바일,396,46,12,6,3
2026-05-13,유료검색,PC,111,15,6,3,1
2026-05-13,메타광고,모바일,443,50,14,7,3
2026-05-13,메타광고,PC,122,13,5,3,1
2026-05-13,인스타,모바일,199,19,5,3,2
2026-05-13,인스타,PC,62,6,2,1,0
2026-05-13,뉴스레터,모바일,175,32,9,5,3
2026-05-13,뉴스레터,PC,40,7,2,1,0
2026-05-14,자연검색,모바일,378,55,15,8,4
2026-05-14,자연검색,PC,95,13,4,2,1
2026-05-14,유료검색,모바일,449,53,13,7,3
2026-05-14,유료검색,PC,119,15,6,4,2
2026-05-14,메타광고,모바일,380,44,12,7,4
2026-05-14,메타광고,PC,129,13,5,3,1
2026-05-14,인스타,모바일,225,20,5,3,1
2026-05-14,인스타,PC,60,5,2,1,0
2026-05-14,뉴스레터,모바일,141,26,7,4,2
2026-05-14,뉴스레터,PC,46,8,3,2,1
2026-05-15,자연검색,모바일,325,50,14,8,4
2026-05-15,자연검색,PC,96,13,5,3,2
2026-05-15,유료검색,모바일,448,55,13,7,3
2026-05-15,유료검색,PC,132,17,6,3,1
2026-05-15,메타광고,모바일,382,40,12,6,3
2026-05-15,메타광고,PC,120,13,5,3,2
2026-05-15,인스타,모바일,195,17,4,2,1
2026-05-15,인스타,PC,64,5,2,1,1
2026-05-15,뉴스레터,모바일,148,25,7,4,2
2026-05-15,뉴스레터,PC,48,8,3,2,1
2026-05-16,자연검색,모바일,416,59,14,7,4
2026-05-16,자연검색,PC,101,15,5,3,2
2026-05-16,유료검색,모바일,470,55,15,8,4
2026-05-16,유료검색,PC,158,21,8,5,2
2026-05-16,메타광고,모바일,525,56,14,8,4
2026-05-16,메타광고,PC,149,16,5,3,2
2026-05-16,인스타,모바일,223,21,6,3,1
2026-05-16,인스타,PC,80,7,2,1,0
2026-05-16,뉴스레터,모바일,193,33,9,5,2
2026-05-16,뉴스레터,PC,49,9,4,2,1
2026-05-17,자연검색,모바일,432,58,14,8,4
2026-05-17,자연검색,PC,122,17,7,4,2
2026-05-17,유료검색,모바일,479,61,16,8,4
2026-05-17,유료검색,PC,132,17,6,3,2
2026-05-17,메타광고,모바일,426,51,14,8,4
2026-05-17,메타광고,PC,145,17,6,3,2
2026-05-17,인스타,모바일,274,23,6,3,1
2026-05-17,인스타,PC,79,7,2,1,1
2026-05-17,뉴스레터,모바일,199,38,10,6,3
2026-05-17,뉴스레터,PC,54,9,3,2,1
2026-05-18,자연검색,모바일,342,46,13,7,3
2026-05-18,자연검색,PC,94,12,4,2,1
2026-05-18,유료검색,모바일,488,63,17,9,4
2026-05-18,유료검색,PC,127,15,5,3,2
2026-05-18,메타광고,모바일,359,38,11,6,3
2026-05-18,메타광고,PC,103,11,4,2,1
2026-05-18,인스타,모바일,234,21,6,3,1
2026-05-18,인스타,PC,58,5,2,1,1
2026-05-18,뉴스레터,모바일,150,27,7,4,2
2026-05-18,뉴스레터,PC,44,8,3,2,1
2026-05-19,자연검색,모바일,357,55,13,7,3
2026-05-19,자연검색,PC,108,15,6,3,1
2026-05-19,유료검색,모바일,438,50,15,8,4
2026-05-19,유료검색,PC,129,17,6,3,2
2026-05-19,메타광고,모바일,395,45,12,6,3
2026-05-19,메타광고,PC,110,12,4,2,1
2026-05-19,인스타,모바일,212,20,6,3,2
2026-05-19,인스타,PC,68,6,2,1,0
2026-05-19,뉴스레터,모바일,172,30,7,4,2
2026-05-19,뉴스레터,PC,49,8,3,2,1
2026-05-20,자연검색,모바일,344,50,14,8,4
2026-05-20,자연검색,PC,86,12,4,2,1
2026-05-20,유료검색,모바일,479,56,16,8,4
2026-05-20,유료검색,PC,128,15,6,3,2
2026-05-20,메타광고,모바일,461,51,14,8,4
2026-05-20,메타광고,PC,128,15,5,3,1
2026-05-20,인스타,모바일,212,18,4,2,1
2026-05-20,인스타,PC,63,6,2,1,1
2026-05-20,뉴스레터,모바일,160,26,7,4,2
2026-05-20,뉴스레터,PC,47,8,3,2,1
2026-05-21,자연검색,모바일,326,45,11,6,3
2026-05-21,자연검색,PC,101,15,6,3,2
2026-05-21,유료검색,모바일,480,64,17,9,4
2026-05-21,유료검색,PC,128,16,6,3,1
2026-05-21,메타광고,모바일,447,50,14,7,4
2026-05-21,메타광고,PC,118,14,5,3,1
2026-05-21,인스타,모바일,248,24,6,3,2
2026-05-21,인스타,PC,68,6,2,1,0
2026-05-21,뉴스레터,모바일,152,26,6,3,2
2026-05-21,뉴스레터,PC,40,7,3,2,1
2026-05-22,자연검색,모바일,314,47,12,7,4
2026-05-22,자연검색,PC,88,14,5,3,2
2026-05-22,유료검색,모바일,425,52,14,8,4
2026-05-22,유료검색,PC,119,15,6,3,1
2026-05-22,메타광고,모바일,439,51,12,6,3
2026-05-22,메타광고,PC,118,14,5,3,1
2026-05-22,인스타,모바일,242,23,6,3,1
2026-05-22,인스타,PC,65,6,2,1,0
2026-05-22,뉴스레터,모바일,172,31,8,5,3
2026-05-22,뉴스레터,PC,42,7,2,1,1
2026-05-23,자연검색,모바일,417,57,14,7,3
