고객ID,최근성(일),빈도(회),금액(원),R,F,M,RFM,세그먼트
CUS-****070,0,9,1224600,5,5,5,555,챔피언
CUS-****063,0,7,1093200,5,5,5,555,챔피언
CUS-****002,0,7,868400,5,5,5,555,챔피언
CUS-****022,0,6,836900,5,5,5,555,챔피언
CUS-****061,0,5,811800,5,4,5,545,챔피언
CUS-****029,0,6,587200,5,5,5,555,챔피언
CUS-****058,1,8,1267400,5,5,5,555,챔피언
CUS-****023,1,9,1155900,5,5,5,555,챔피언
CUS-****006,1,8,985000,5,5,5,555,챔피언
CUS-****065,1,7,720600,5,5,5,555,챔피언
CUS-****031,1,7,695900,5,5,5,555,챔피언
CUS-****019,1,7,605700,5,5,5,555,챔피언
CUS-****028,1,5,499000,5,4,5,545,챔피언
CUS-****040,2,7,1152700,5,5,5,555,챔피언
CUS-****012,2,7,758300,5,5,5,555,챔피언
CUS-****064,3,8,1486800,5,5,5,555,챔피언
CUS-****004,3,7,1242300,5,5,5,555,챔피언
CUS-****001,3,6,901500,5,5,5,555,챔피언
CUS-****055,3,6,616100,5,5,5,555,챔피언
CUS-****054,3,5,495300,5,4,5,545,챔피언
CUS-****013,3,5,490300,5,4,5,545,챔피언
CUS-****071,4,8,1031800,5,5,5,555,챔피언
CUS-****053,4,7,964100,5,5,5,555,챔피언
CUS-****016,4,7,847500,5,5,5,555,챔피언
CUS-****147,4,5,785800,5,4,5,545,챔피언
CUS-****149,4,6,631100,5,5,5,555,챔피언
CUS-****168,4,6,568900,5,5,5,555,챔피언
CUS-****205,4,5,526700,5,4,5,545,챔피언
CUS-****183,4,5,442500,5,4,5,545,챔피언
CUS-****051,5,7,1345600,5,5,5,555,챔피언
CUS-****125,5,5,761000,5,4,5,545,챔피언
CUS-****094,5,5,698500,5,4,5,545,챔피언
CUS-****036,5,7,656800,5,5,5,555,챔피언
CUS-****172,5,6,401900,5,5,5,555,챔피언
CUS-****056,6,8,762000,5,5,5,555,챔피언
CUS-****005,6,7,588000,5,5,5,555,챔피언
CUS-****124,6,6,500800,5,5,5,555,챔피언
CUS-****025,7,9,1141500,5,5,5,555,챔피언
CUS-****010,7,7,972000,5,5,5,555,챔피언
CUS-****043,7,6,744200,5,5,5,555,챔피언
CUS-****203,7,6,611000,5,5,5,555,챔피언
CUS-****182,7,5,356900,5,4,5,545,챔피언
CUS-****033,8,6,1032300,5,5,5,555,챔피언
CUS-****026,8,6,546500,5,5,5,555,챔피언
CUS-****011,9,6,1091400,5,5,5,555,챔피언
CUS-****018,9,7,783500,5,5,5,555,챔피언
CUS-****113,9,6,633600,5,5,5,555,챔피언
CUS-****050,9,7,617500,5,5,5,555,챔피언
CUS-****171,9,6,566900,5,5,5,555,챔피언
CUS-****210,9,5,497200,5,4,5,545,챔피언
CUS-****155,9,6,456200,5,5,5,555,챔피언
CUS-****057,10,7,830100,5,5,5,555,챔피언
CUS-****187,10,5,211800,5,4,4,544,챔피언
CUS-****034,11,7,968000,5,5,5,555,챔피언
CUS-****131,11,6,937600,5,5,5,555,챔피언
CUS-****008,11,7,655400,5,5,5,555,챔피언
CUS-****112,11,6,644100,5,5,5,555,챔피언
CUS-****115,11,5,607800,5,4,5,545,챔피언
CUS-****202,11,6,585400,5,5,5,555,챔피언
CUS-****024,11,6,584800,5,5,5,555,챔피언
CUS-****073,11,5,463500,5,4,5,545,챔피언
CUS-****096,11,5,383200,5,4,5,545,챔피언
CUS-****048,12,6,532200,5,5,5,555,챔피언
CUS-****197,12,6,494700,5,5,5,555,챔피언
CUS-****042,13,7,682100,5,5,5,555,챔피언
CUS-****091,13,5,653000,5,4,5,545,챔피언
CUS-****089,13,6,647500,5,5,5,555,챔피언
CUS-****101,13,6,610400,5,5,5,555,챔피언
CUS-****198,13,5,567400,5,4,5,545,챔피언
CUS-****150,13,6,513000,5,5,5,555,챔피언
CUS-****138,13,5,218200,5,4,4,544,챔피언
CUS-****035,14,9,1114300,5,5,5,555,챔피언
CUS-****052,14,6,828500,5,5,5,555,챔피언
CUS-****062,14,6,772000,5,5,5,555,챔피언
CUS-****190,14,6,737000,5,5,5,555,챔피언
CUS-****136,14,6,385100,5,5,5,555,챔피언
CUS-****129,14,6,339500,5,5,5,555,챔피언
CUS-****201,14,5,334800,5,4,5,545,챔피언
CUS-****067,15,9,1453900,5,5,5,555,챔피언
CUS-****119,15,6,651700,5,5,5,555,챔피언
CUS-****095,15,6,588800,5,5,5,555,챔피언
CUS-****199,16,5,652600,5,4,5,545,챔피언
