날짜,유입채널,디바이스,유입,상세조회,장바구니,결제시작,결제완료
2026-07-01,자연검색,모바일,184,82,4,1,1
2026-07-01,자연검색,PC,55,24,2,1,0
2026-07-01,유료검색,모바일,220,89,4,1,1
2026-07-01,유료검색,PC,66,27,2,1,0
2026-07-01,메타광고,모바일,217,84,3,1,1
2026-07-01,메타광고,PC,65,25,2,1,0
2026-07-01,인스타,모바일,112,38,1,0,0
2026-07-01,인스타,PC,33,11,1,0,0
2026-07-02,자연검색,모바일,191,85,4,1,1
2026-07-02,자연검색,PC,52,23,2,1,0
2026-07-02,유료검색,모바일,222,90,4,1,1
2026-07-02,유료검색,PC,61,25,2,1,0
2026-07-02,메타광고,모바일,204,79,3,1,1
2026-07-02,메타광고,PC,61,24,2,1,0
2026-07-02,인스타,모바일,123,42,1,0,0
2026-07-02,인스타,PC,33,11,1,0,0
2026-07-03,자연검색,모바일,220,98,5,2,1
2026-07-03,자연검색,PC,60,27,2,1,0
2026-07-03,유료검색,모바일,245,99,4,2,1
2026-07-03,유료검색,PC,75,30,2,1,0
2026-07-03,메타광고,모바일,273,106,4,1,1
2026-07-03,메타광고,PC,67,26,2,1,0
2026-07-03,인스타,모바일,124,42,1,0,0
2026-07-03,인스타,PC,37,13,1,0,0
2026-07-04,자연검색,모바일,195,87,4,1,1
2026-07-04,자연검색,PC,55,25,2,1,0
2026-07-04,유료검색,모바일,263,106,5,2,1
2026-07-04,유료검색,PC,68,28,2,1,0
2026-07-04,메타광고,모바일,279,109,4,2,1
2026-07-04,메타광고,PC,69,27,2,1,0
2026-07-04,인스타,모바일,124,42,1,0,0
2026-07-04,인스타,PC,38,13,1,0,0
2026-07-05,자연검색,모바일,200,89,4,1,1
2026-07-05,자연검색,PC,51,23,2,1,0
2026-07-05,유료검색,모바일,266,108,5,2,1
2026-07-05,유료검색,PC,68,27,2,1,0
2026-07-05,메타광고,모바일,245,95,4,1,1
2026-07-05,메타광고,PC,74,29,2,1,0
2026-07-05,인스타,모바일,122,42,1,0,0
2026-07-05,인스타,PC,33,11,1,0,0
2026-07-06,자연검색,모바일,218,97,5,2,1
2026-07-06,자연검색,PC,57,25,2,1,0
2026-07-06,유료검색,모바일,242,98,4,1,1
2026-07-06,유료검색,PC,68,28,2,1,0
2026-07-06,메타광고,모바일,281,109,5,2,1
2026-07-06,메타광고,PC,67,26,2,1,0
2026-07-06,인스타,모바일,123,42,1,0,0
2026-07-06,인스타,PC,40,14,1,0,0
2026-07-07,자연검색,모바일,219,97,5,2,1
2026-07-07,자연검색,PC,60,27,2,1,0
2026-07-07,유료검색,모바일,276,111,5,2,1
2026-07-07,유료검색,PC,67,27,2,1,0
